Event,FIGHTER,OPEN,CURRENT,IMPLIED,ELO,GPT,SIM,MMA-AI,CAPPERS,GROK,CLAUDE,GEMINI,CHAT GPT,DEEP SEEK,AI-AVERAGE,MODEL 75,NEW MODEL,SCRAP,CAGE PICKS,CAGE PICKS,ELO/IMPLIED,RESULTS,METHOD,ROUND
UFC 324,Umar Nurmagomedov,-800,-1450,89.89,77.36,77.24,90.4,85.0,99,87.23,86.42,94.12,86.91,92.77,89.49,84.83,84.92,87.85,87.51,86.35,83.63,W,UD,15
UFC 324,Deiveson Figueiredo,550,850,10.11,22.64,22.76,9.6,15.0,1,12.77,13.58,5.88,13.09,7.23,10.51,15.17,15.08,12.15,12.49,13.65,16.38,L,UD,15
UFC 324,Ateba Gautier,-900,-950,86.77,64.12,72.41,87.2,65.0,96.9,84.56,73.84,92.1,81.94,88.91,84.27,78.48,77.21,81.25,80.75,79.06,75.45,W,UD,15
UFC 324,Andrey Pulyaev,600,625,13.23,35.88,27.59,12.8,35.0,3.1,15.44,26.16,7.9,18.06,11.09,15.73,21.52,22.79,18.75,19.26,20.94,24.56,L,UD,15
UFC 324,Nikita Krylov,170,124,42.79,47.33,48.9,45.7,24.0,16.7,45.67,48.92,36.59,48.66,55.18,47.00,45.26,44.77,41.86,44.20,44.39,45.06,W,KO,R3
UFC 324,Modestas Bukauskas,-200,-148,57.21,52.67,51.1,54.3,76.0,83.3,54.33,51.08,63.41,51.34,44.82,53.00,54.74,55.23,58.14,55.80,55.61,54.94,L,KO,R3
UFC 324,Alex Perez,170,145,39.08,35.57,40.67,40,32.0,10.5,43.21,46.83,34.88,46.81,45.11,43.37,39.29,38.61,37.70,41.19,40.14,37.33,W,KO,R1
UFC 324,Charles Johnson,-200,-175,60.92,64.43,59.33,60,68.0,89.5,56.79,53.17,65.12,53.19,54.89,56.63,60.71,61.39,62.30,58.81,59.86,62.68,L,KO,R1
UFC 324,Josh Hokit,-200,-225,66.36,49.81,59.23,71,71.0,88.3,68.45,71.84,72.88,71.28,71.25,71.14,61.54,61.93,69.22,69.62,66.85,58.09,W,KO,R1
UFC 324,Denzel Freeman,170,185,33.64,50.19,40.77,29,29.0,11.7,31.55,28.16,27.12,28.72,28.75,28.86,38.46,38.07,30.78,30.38,33.15,41.92,L,KO,R1
UFC 324,Adam Fugitt,250,350,21.33,45.32,50.81,18.3,31.0,8.9,24.56,38.72,15.38,29.41,25.14,26.64,30.40,31.94,28.08,29.17,30.63,33.33,L,KO,R1
UFC 324,Ty Miller,-300,-455,78.67,54.68,49.19,81.7,69.0,91.1,75.44,61.28,84.62,70.59,74.86,73.36,69.60,68.06,71.92,70.84,69.37,66.68,W,KO,R1
UFC 325,Alexander Volkanovski,-150,-147,57.46,68.91,72.3,59.3,54.0,53.3,58.23,64.23,59.8,58.6,61.8,60.54,61.53,62.47,60.73,61.04,61.77,63.19,W,UD,15
UFC 325,Diego Lopes,130,127,42.54,31.09,27.7,40.7,46.0,46.7,41.77,35.77,40.2,41.4,38.2,39.46,38.47,37.53,39.27,38.96,38.23,36.82,L,UD,15
UFC 325,Dan Hooker,330,290,26.04,28.83,33.14,27.4,15.0,14.1,32.45,38.47,21.58,27.12,28.45,29.61,29.11,27.61,26.60,27.95,27.98,27.44,L,KO,R2
UFC 325,Benoit Saint-Denis,-400,-365,73.96,71.17,66.86,72.6,85.0,85.9,67.55,61.53,78.42,72.88,71.55,70.39,70.89,72.39,73.40,72.05,72.02,72.57,W,KO,R2
UFC 325,Rafael Fiziev,-110,105,47.18,76.23,28.94,47.4,48.0,51.6,50.67,53.18,51.12,43.08,51.22,49.85,58.03,56.70,49.87,46.70,50.86,61.71,L,KO,R2
UFC 325,Mauricio Ruffy,-110,-125,52.82,23.77,71.06,52.6,52.0,48.4,49.33,46.82,48.88,56.92,48.78,50.15,41.97,43.30,50.13,53.30,49.14,38.30,W,KO,R2
UFC 325,Tai Tuivasa,250,250,27.59,77.63,47.51,28.2,15.0,22.5,29.81,42.61,28.78,20.69,19.81,28.34,45.01,44.76,32.74,29.05,35.51,52.61,L,UD,15
UFC 325,Tallison Teixeira,-300,-310,72.41,22.37,52.49,71.8,85.0,77.5,70.19,57.39,71.22,79.31,80.19,71.66,54.99,55.24,67.26,70.95,64.49,47.39,W,UD,15
UFC 325,Quillan Salkilld,-700,-1000,86.3,78.2,69.08,86.3,85.0,100,84.56,76.84,88.42,85.02,87.44,84.46,83.02,82.44,84.29,82.83,82.57,82.25,W,SUB,R1
UFC 325,Jamie Mullarkey,525,650,13.7,21.8,30.92,13.7,15.0,0,15.44,23.16,11.58,14.98,12.56,15.54,16.98,17.56,15.71,17.17,17.43,17.75,L,SUB,R1
UFC 325,Junior Tafa,150,215,31.72,16.13,39.93,31.5,18.0,3.4,36.78,44.56,29.85,36.59,36.77,36.91,28.21,27.37,29.57,34.25,31.50,23.93,L,SUB,R2
UFC 325,Billy Elekana,-175,-265,68.28,83.87,60.07,68.5,82.0,96.6,63.22,55.44,70.15,63.41,63.23,63.09,71.79,72.63,70.43,65.75,68.50,76.08,W,SUB,R2
UFC 325,Cam Rowston,-300,-375,75.56,74.34,56.3,75.1,85.0,96.6,72.34,68.92,72.8,78.12,79.33,74.30,74.08,74.46,75.86,73.49,73.86,74.95,W,KO,R2
UFC 325,Cody Brundage,250,295,24.44,25.66,43.7,24.9,15.0,3.4,27.66,31.08,27.2,21.88,20.67,25.70,25.92,25.54,24.14,26.51,26.14,25.05,L,KO,R2
UFC 325,Jacob Malkoun,-250,-155,57.11,64.86,48.06,60,33.0,53.3,60.12,59.73,64.88,61.88,54.18,60.16,60.70,59.07,56.10,55.23,56.75,60.99,W,UD,15
UFC 325,Torrez Finney,210,130,42.89,35.14,51.94,40,67.0,46.7,39.88,40.27,35.12,38.12,45.82,39.84,39.30,40.93,43.90,44.77,43.25,39.02,L,UD,15
UFC 325,Jonathan Micallef,-110,-130,55.07,38.76,56.19,55.1,60.0,52.3,53.89,56.82,58.1,48.56,52.88,54.05,49.24,49.67,53.42,55.19,52.91,46.92,W,SUB,R2
UFC 325,Oban Elliott,-110,110,44.93,61.24,43.81,44.9,40.0,47.7,46.11,43.18,41.9,51.44,47.12,45.95,50.76,50.33,46.58,44.81,47.09,53.09,L,SUB,R2
UFC 325,Kaan Ofli,160,180,34.52,36.42,22.21,34.3,32.0,27,38.45,47.35,31.78,31.98,37.41,37.39,36.46,35.13,33.95,34.44,34.76,35.47,W,MD,15
UFC 325,Yizha,-185,-218,65.48,63.58,77.79,65.7,68.0,73,61.55,52.65,68.22,68.02,62.59,62.61,63.54,64.88,66.05,65.57,65.24,64.53,L,MD,15
UFC 325,Sangwook Kim,175,114,39.33,59.68,43.43,39.33,33.0,24.2,43.67,51.24,37.6,54.11,48.25,46.97,47.56,47.61,43.08,43.83,45.57,49.51,L,UD,15
UFC 325,Dom Mar Fan,-205,-135,60.67,40.32,56.57,60.67,67.0,75.8,56.33,48.76,62.4,45.89,51.75,53.03,52.44,52.39,56.92,56.17,54.43,50.50,W,UD,15
UFC 325,Keiichiro Nakamura,170,110,47.83,49.28,55.98,47.83,28.0,41.5,47.89,55.89,45.9,57.03,49.11,51.16,48.33,48.52,47.84,48.45,48.47,48.56,W,KO,R3
UFC 325,Sebastian Szalay,-200,-130,52.17,50.72,44.02,52.17,72.0,58.5,52.11,44.11,54.1,42.97,50.89,48.84,51.67,51.48,52.16,51.55,51.53,51.45,L,KO,R3
UFC 325,Sulangrangbo,165,-270,69.8,56.36,37.03,69.8,77.0,70.1,65.78,63.47,47.7,62.94,65.33,61.04,63.98,62.43,62.30,61.13,61.17,63.08,L,SD,15
UFC 325,Lawrence Lui,-190,220,30.2,43.64,62.97,30.2,23.0,29.9,34.22,36.53,52.3,37.06,34.67,38.96,36.02,37.57,37.70,38.87,38.83,36.92,W,SD,15
Vegas 113,Mario Bautista,-140,-148,57.35,52.58,53.8,62.2,45.0,66.3,62.80,63.47,61.24,66.8,68.1,64.50,57.58,56.79,59.97,60.44,59.30,54.97,W,SUB,R2
Vegas 113,Vinicius Oliveira,120,124,42.65,47.42,46.2,37.8,55.0,33.7,37.20,36.53,38.76,33.2,31.9,35.50,42.42,43.21,40.02,39.56,40.70,45.04,L,SUB,R2
Vegas 113,Amir Albazi,185,275,22.2,12.15,50.03,24.9,21.0,0,30.50,38.76,31.42,21.09,22.47,28.85,21.62,21.46,24.96,30.02,26.95,17.18,L,UD,15
Vegas 113,Kyoji Horiguchi,-220,-345,77.8,87.85,49.97,75.1,79.0,100,69.50,61.24,68.58,78.91,77.53,71.15,78.38,78.54,75.04,69.98,73.05,82.83,W,UD,15
Vegas 113,Jailton Almeida,-550,-162,59.01,79.89,77.88,57.2,69.0,65.5,65.90,72.34,70.21,71.36,72.83,70.53,68.27,69.50,69.19,69.59,70.24,69.45,L,UD,15
Vegas 113,Rizvan Kuniev,420,136,40.99,20.11,22.12,42.8,31.0,34.5,34.10,27.66,29.79,28.64,27.17,29.47,31.73,30.50,30.81,30.41,29.76,30.55,W,UD,15
Vegas 113,Michal Oleksiejczuk,-225,-420,83.63,69.56,76.04,75.1,71.0,98.8,70.10,68.92,73.12,63.27,65.22,68.13,74.43,74.51,74.07,70.35,71.21,76.60,W,UD,15
Vegas 113,Marc-Andre Barriault,190,310,16.37,30.44,23.96,24.9,29.0,1.2,29.90,31.08,26.88,36.73,34.78,31.87,25.57,25.49,25.93,29.65,28.79,23.41,L,UD,15
Vegas 113,Jean Matsumoto,330,240,30.21,36.54,43.5,28.2,12.0,19.3,31.60,42.81,31.55,27.51,38.77,34.45,32.78,32.91,31.09,31.99,32.40,33.38,L,SD,15
Vegas 113,Farid Basharat,-400,310,69.79,63.46,56.5,71.8,88.0,80.7,68.40,57.19,68.45,72.49,61.23,65.55,67.22,67.09,68.91,68.01,67.60,66.63,W,SD,15
Vegas 113,Dustin Jacoby,-135,-192,65.34,85.76,50.94,62.2,40.0,80.2,60.20,64.28,61.88,58.12,58.91,60.68,70.43,69.39,62.53,57.07,61.67,75.55,W,KO,R2
Vegas 113,Julius Walker,115,154,34.66,14.24,49.06,37.8,60.0,19.8,39.80,35.72,38.12,41.88,41.09,39.32,29.57,30.61,37.47,42.93,38.33,24.45,L,KO,R2
Vegas 113,Alex Morono,385,490,13.48,27.94,21.54,17.8,12.0,2.5,22.90,34.62,17.45,30.12,19.88,24.99,21.44,21.15,20.02,22.04,22.22,20.71,L,UD,15
Vegas 113,Daniil Donchenko,-500,-750,86.52,72.06,78.46,82.2,88.0,97.5,77.10,65.38,82.55,69.88,80.12,75.01,78.56,78.85,79.98,77.96,77.78,79.29,W,UD,15
Vegas 113,Nikolay Veretennikov,-250,-280,77.16,51.56,51.88,71.8,67.0,85.7,69.40,62.47,68.74,61.03,62.34,64.80,66.04,64.35,66.28,64.33,63.63,64.36,W,KO,R1
Vegas 113,Niko Price,210,220,22.84,48.44,48.12,28.2,33.0,14.3,30.60,37.53,31.26,38.97,37.66,35.20,33.96,35.65,33.72,35.67,36.37,35.64,L,KO,R1
Vegas 113,Bruna Brasil,130,130,43.67,40.86,54.12,40,62.0,54.9,54.30,47.93,53.12,61.22,49.23,53.16,46.28,45.76,51.03,52.74,50.66,42.27,L,UD,15
Vegas 113,Ketlen Souza,-150,-155,56.33,59.14,45.88,60,38.0,45.1,45.70,52.07,46.88,38.78,50.77,46.84,53.72,54.24,48.97,47.26,49.34,57.74,W,UD,15
Vegas 113,Gianni Vazquez,675,525,15.46,39.17,36,15.3,35.0,0,14..89,15.46,18.66,14.92,12.58,15.41,27.32,25.25,20.26,21.13,23.42,27.32,L,UD,15
Vegas 113,Javid Basharat,-1000,-700,84.54,60.83,64,84.7,65.0,100,85.11,84.54,81.34,85.08,87.42,84.70,76.83,75.01,80.23,79.65,77.67,72.69,W,UD,15
Vegas 113,Cong Wang,-300,-355,77.98,37.92,38.84,66.7,63.0,85.9,72.60,71.84,77.21,79.44,71.45,74.51,62.83,61.18,67.53,67.64,64.48,57.95,W,UD,15
Vegas 113,Eduarda Moura,250,280,22.02,62.08,61.16,33.3,37.0,14.1,27.40,28.16,22.79,20.56,28.55,25.49,37.17,38.82,32.47,32.37,35.52,42.05,L,UD,15
Vegas 113,Muin Gafurov,-150,-122,54.91,35.42,66.09,54.3,39.0,53.2,50.98,51.38,43.88,43.13,52.34,48.34,47.10,46.82,49.51,50.14,48.47,45.17,L,SUB,R3
Vegas 113,Jakub Wiklacz,130,102,45.09,64.58,33.91,45.7,61.0,46.8,49.02,48.62,56.12,56.87,47.66,51.66,52.90,53.18,50.49,49.86,51.53,54.84,W,SUB,R3
Vegas 113,Klaudia Sygula,-300,-155,56.33,47.91,66.03,57.2,69.0,64.6,53.80,56.28,59.88,46.08,55.23,54.25,52.68,54.06,57.49,57.94,56.43,52.12,W,UD,15
Vegas 113,Priscila Cachoeira,250,130,43.67,52.09,33.97,42.8,31.0,35.4,46.20,43.72,40.12,53.92,44.77,45.75,47.32,45.94,42.51,42.06,43.57,47.88,L,UD,15
Houston,Sean Strickland,210,230,29.34,36.44,18.54,58.1,20.0,9.1,31.55,36.47,31.58,31.6,28.5,31.93,32.44,32.61,30.11,32.04,32.30,32.89,W,KO,R3
Houston,Anthony Hernandez,-250,-270,70.66,63.56,81.46,41.9,80.0,90.9,68.45,63.53,68.42,68.4,71.5,68.07,67.56,67.39,69.89,67.96,67.70,67.11,L,KO,R3
Houston,Geoff Neal,-180,-200,64.29,69.08,42.57,62.2,59.0,78.2,61.20,58.14,64.87,64.1,58.77,61.42,64.86,64.08,62.04,58.86,60.75,66.69,L,KO,R1
Houston,Uros Medic,155,170,35.71,30.92,57.43,37.8,41.0,21.8,38.80,41.86,35.13,35.9,41.23,38.58,35.14,35.92,37.96,41.14,39.25,33.32,W,KO,R1
Houston,Dan Ige,105,185,33.79,39.77,24.88,35.5,11.0,12.6,35.90,37.83,38.55,38.3,33.29,36.77,36.49,35.16,31.04,31.91,33.05,36.78,L,KO,R1
Houston,Melquizael Costa,-125,-220,66.21,60.23,75.12,64.5,89.0,87.4,64.10,62.17,61.45,61.7,66.71,63.23,63.51,64.84,68.96,68.09,66.95,63.22,W,KO,R1
Houston,Serghei Spivac,160,125,42.89,45.43,39.03,41.7,59.0,21.2,41.30,46.72,48.78,55.8,45.77,47.67,43.21,45.19,44.33,47.26,46.42,44.16,W,UD,15
Houston,Ante Delija,-185,-145,57.11,54.57,60.97,58.3,41.0,78.8,58.70,53.28,51.22,44.2,54.23,52.33,56.79,54.81,55.67,52.74,53.58,55.84,L,UD,15
Houston,Jacobe Smith,-500,-270,70.66,47.18,71.63,71.8,80.0,85,76.30,71.34,81.33,82.5,75.82,77.46,64.71,64.73,73.96,76.34,72.13,58.92,W,KO,R1
Houston,Josiah Harrell,385,230,29.34,52.82,28.37,28.2,20.0,15,23.70,28.66,18.67,17.5,24.18,22.54,35.29,35.27,26.04,23.66,27.87,41.08,L,KO,R1
Houston,Zach Reese,130,125,42.89,30.02,35.82,40.7,43.0,46,37.60,43.17,37.82,37.7,40.16,39.29,36.84,37.47,39.53,39.50,38.41,36.46,L,SD,15
Houston,Michel Pereira,-150,-145,57.11,69.98,64.18,59.3,57.0,54,62.40,56.83,62.18,62.3,59.84,60.71,63.16,62.53,60.47,60.50,61.59,63.55,W,SD,15
Houston,Chidi Njokuani,220,100,47.83,44.38,58.05,44.9,44.0,48,45.20,48.93,45.88,43.1,43.29,45.28,45.80,46.29,46.69,46.67,46.40,46.11,L,UD,15
Houston,Carlos Leal,-260,-120,52.17,55.62,41.95,55.1,56.0,52,54.80,51.07,54.12,56.9,56.71,54.72,54.20,53.71,53.31,53.33,53.60,53.90,W,UD,15
Houston,Ode Osbourne,170,105,46.75,21.19,31.72,44.9,37.0,46.5,40.80,44.28,33.12,36.6,56.08,42.18,36.25,36.17,39.90,40.56,38.35,33.97,L,UD,15
Houston,Alibi Idiris,-200,-125,53.25,78.81,68.28,55.1,63.0,53.5,59.20,55.72,66.88,63.4,43.92,57.82,63.75,63.83,60.10,59.44,61.65,66.03,W,UD,15
Houston,Alden Coria,-185,-265,70.23,68.85,55.04,70.5,80.0,97.1,67.10,71.83,72.45,74.6,70.24,71.24,68.73,69.77,72.54,70.22,70.14,69.54,W,UD,15
Houston,Luis Gurule,160,225,29.77,31.15,44.96,29.5,20.0,2.9,32.90,28.17,27.55,25.4,29.76,28.76,31.27,30.23,27.46,29.78,29.86,30.46,L,UD,15
Houston,Nora Cornolle,185,250,27.59,43.2,31.53,26.6,13.0,4,28.50,32.47,25.88,30.8,28.93,29.32,33.10,32.67,26.59,27.21,29.27,35.40,L,SUB,R2
Houston,Joselyne Edwards,-220,-300,72.41,56.8,68.47,73.4,87.0,96,71.50,67.53,74.12,69.2,71.07,70.68,66.90,67.33,73.41,72.79,70.73,64.61,W,SUB,R2
Houston,Ramiz Brahimaj,146,110,45.73,41.88,33.45,53.2,25.0,59.4,46.10,52.84,59.55,58.1,55.82,54.48,44.57,45.21,48.28,48.01,47.08,43.81,L,UD,15
Houston,Punahele Soriano,-171,-130,54.27,58.12,66.55,46.8,75.0,40.6,53.90,47.16,40.45,41.9,44.18,45.52,55.43,54.79,51.72,51.99,52.92,56.20,W,UD,15
Houston,Phil Rowe,210,175,35.11,60.54,47.58,35.5,10.0,19.2,36.20,37.62,48.22,68.8,37.66,45.70,43.95,45.28,39.68,40.20,42.40,47.83,L,SD,15
Houston,Jean-Paul Lebosnoyani,-250,-205,64.89,39.46,52.42,64.5,90.0,80.8,63.80,62.38,51.78,31.2,62.34,54.30,56.05,54.72,60.32,59.80,57.60,52.18,W,SD,15
Houston,Jordan Leavitt,450,330,22.52,39.91,39.56,22.8,11.0,2,25.80,28.43,21.1,20.9,24.09,24.06,29.41,28.88,23.46,24.21,26.12,31.22,W,UD,15
Houston,Yadier del Valle,-600,-400,77.48,60.09,60.44,77.2,89.0,98,74.20,71.57,78.9,79.1,75.91,75.94,70.59,71.12,76.54,75.79,73.88,68.79,L,UD,15
Houston,Juliana Miller,285,550,14.85,31.82,33.93,14.8,90.0,2,20.40,22.47,13.56,11.6,19.44,17.49,22.36,24.98,24.99,28.28,27.59,23.34,L,UD,15
Houston,Carli Judice,-350,-750,85.15,68.18,66.07,85.2,10.0,98,79.60,77.53,86.44,88.4,80.56,82.51,77.64,75.02,75.01,71.73,72.41,76.67,W,UD,15
Mexico,Brandon Moreno,-175,-205,64.46,89.48,44.25,66.4,53.0,86.5,68.45,60.52,71.42,69.8,70.34,68.11,74.13,72.32,67.70,63.03,66.12,76.97,L,UD,25
Mexico,Lone’er Kavanagh,150,170,35.54,10.52,55.75,33.6,47.0,13.5,31.55,39.48,28.58,30.2,29.66,31.89,25.87,27.68,32.30,36.97,33.88,23.03,W,UD,25
Mexico,Marlon Vera,130,235,71.36,60,25.13,28.6,25.0,5.7,32.10,48.35,21.55,25.37,35.92,32.66,54.49,53.87,34.46,30.25,30.57,65.68,L,UD,15
Mexico,David Martinez,-150,-290,28.64,40,74.87,71.4,75.0,94.3,67.90,51.65,78.45,74.63,64.08,67.34,45.51,46.13,65.54,69.75,69.43,34.32,W,UD,15
Mexico,Daniel Zellhuber,-500,-500,80.01,50.01,64.89,80.4,80.0,88.4,78.20,51.11,86.12,82.94,76.44,74.96,69.41,68.34,74.41,75.01,75.25,65.01,L,KO,R2
Mexico,King Green,375,380,19.99,49.99,35.11,19.6,20.0,11.6,21.80,48.89,13.88,17.06,23.56,25.04,30.59,31.66,25.59,24.99,24.75,34.99,W,KO,R2
Mexico,Edgar Chairez,-220,-325,73.36,47.95,64.47,73.4,74.0,96.6,74.80,52.48,71.1,77.92,68.21,68.90,65.37,63.62,70.39,69.55,70.89,60.66,W,SD,15
Mexico,Felipe Bunes,185,260,26.64,52.05,35.53,26.6,25.0,3.4,25.20,47.52,28.9,22.08,31.79,31.10,34.63,36.34,29.52,30.33,29.01,39.35,L,SD,15
Mexico,Imanol Rodriguez,-210,-455,78.68,74.48,62.52,77.7,80.0,89.7,81.10,59.28,68.22,81.47,82.15,74.44,78.09,75.74,75.94,74.06,75.10,76.58,W,KO,R2
Mexico,Kevin Borjas,180,350,21.32,25.52,37.48,22.3,20.0,10.3,18.90,40.72,31.78,18.53,17.85,25.56,21.91,24.26,24.06,25.95,24.90,23.42,L,KO,R2
Mexico,Santiago Luna,-400,-650,83.17,81.05,60.42,80,80.0,98.8,84.60,77.01,89.34,86.11,78.44,83.10,82.94,81.24,81.72,79.49,81.31,82.11,W,UD,15
Mexico,Angel Pacheco,300,470,16.83,18.95,39.58,20,20.0,1.2,15.40,22.99,10.66,13.89,21.56,16.90,17.06,18.76,18.28,20.51,18.69,17.89,L,UD,15
Mexico,Ryan Gandra,-550,-650,83.17,91.11,75.47,63.0,80.0,98.8,84.20,64.57,94.15,84.32,74.91,80.43,86.16,83.95,81.25,77.58,79.87,87.14,W,KO,R1
Mexico,Jose Medina,420,470,16.83,8.89,24.53,37.0,20.0,1.2,15.80,35.43,5.85,15.68,25.09,19.57,13.84,16.05,18.75,22.42,20.13,12.86,L,KO,R1
Mexico,Ailin Perez,-110,-175,60.92,66.58,62.95,61.6,80.0,87.4,60.50,57.63,74.31,68.77,63.57,64.96,62.67,64.56,67.66,66.17,68.30,63.75,W,UD,15
Mexico,Macy Chiasson,-110,145,39.08,33.42,37.05,38.4,20.0,12.6,39.50,42.37,25.69,31.23,36.43,35.04,37.33,35.44,32.34,33.83,31.70,36.25,L,UD,15
Mexico,Cristian Quinonez,-500,-675,83.71,65.46,77.66,83.7,80.0,88.2,85.20,66.48,91.22,89.73,80.23,82.57,78.12,76.98,81.05,81.78,81.63,74.59,W,UD,15
Mexico,Kris Moutinho,385,490,16.29,34.54,22.34,16.3,20.0,11.8,14.80,33.52,8.78,10.27,19.77,17.43,21.88,23.02,18.95,18.22,18.37,25.42,L,UD,15
Mexico,Douglas Silva de Andrade,180,195,32.49,49.31,29.44,33.6,14.0,23.8,34.10,54.03,35.8,41.92,41.88,41.55,38.63,39.13,35.49,35.60,35.52,40.90,L,KO,R1
Mexico,Javier Reyes,-210,-238,67.51,50.69,70.56,66.4,86.0,76.2,65.90,45.97,64.2,58.08,58.12,58.45,61.37,60.87,64.51,64.40,64.48,59.10,W,KO,R1
Mexico,Ernesta Kareckaite,-325,-175,60.92,31.98,"65,93",59.3,58.0,50,57.20,38.7,58.21,68.16,51.3,54.71,50.03,49.58,53.38,55.84,54.29,46.45,L,UD,15
Mexico,Regina Tarin,130,145,39.08,68.02,34.07,40.7,42.0,50,42.80,61.3,41.79,31.84,48.7,45.29,49.97,50.00,45.48,42.90,44.51,53.55,W,UD,15
Mexico,Erik Silva,350,525,15.35,35.1,18.52,19.6,42.0,1.2,16.80,40.20,25.35,13.67,22.41,23.69,22.42,25.09,22.75,24.82,23.27,25.23,L,SUB,R1
Mexico,Francis Marshall,-450,-750,84.65,64.90,81.48,80.4,58.0,98.8,83.20,59.8,74.65,86.33,77.59,76.31,77.58,74.91,77.25,75.18,76.73,74.78,W,SUB,R1
Mexico,Damian Pinas,-525,-250,68.54,71.49,37.31,69.1,80.0,72.8,70.30,53.18,78.91,75.48,66.81,68.94,70.11,68.81,67.63,66.39,67.11,70.02,W,KO,R1
Mexico,Wes Schultz,410,205,31.46,28.51,62.69,30.9,20.0,27.2,29.70,46.82,21.09,24.52,33.19,31.06,29.89,31.19,32.37,33.61,32.89,29.99,L,KO,R1
UFC 326,Max Holloway,-150,-220,66.78,48.08,62.11,65.0,68.0,78.6,64.80,53.29,68.42,63.84,69.42,63.95,59.89,59.74,64.39,64.36,65.09,57.43,L,UD,25
UFC 326,Charles Oliveira,130,170,33.22,51.92,37.89,35.0,32.0,21.4,35.20,46.71,31.58,36.16,30.58,36.05,40.11,40.26,35.61,35.64,34.91,42.57,W,UD,25
UFC 326,Caio Borralho,-260,-250,68.67,57.43,55.15,70,72.0,76.5,68.50,55.83,78.15,68.42,74.38,69.06,64.87,64.63,67.73,67.80,68.30,63.05,W,UD,15
UFC 326,Reinier de Ridder,220,205,31.33,42.57,44.85,30,28.0,23.5,31.50,44.17,21.85,31.58,25.62,30.94,35.13,35.37,32.27,32.20,31.70,36.95,L,UD,15
UFC 326,Rob Font,375,220,31.64,67.61,24.48,32.5,90.0,22.3,38.00,47.74,28.76,40.56,47.92,40.60,45.75,47.67,42.86,43.75,42.43,49.63,L,UD,15
UFC 326,Raul Rosas Jr.,-500,-270,68.36,32.39,75.52,67.5,10.0,77.6,62.00,52.26,71.24,59.44,52.08,59.40,54.25,52.34,57.13,56.26,57.56,50.38,W,UD,15
UFC 326,Drew Dober,160,-102,49.51,40.23,39.92,47.4,45.0,49,51.20,47.34,53.88,54.62,46.16,50.64,46.98,45.98,47.66,48.19,47.98,44.87,W,KO,R2
UFC 326,Michael Johnson,-185,-118,50.49,59.77,60.08,52.6,55.0,51,48.80,52.66,46.12,45.38,53.84,49.36,53.02,54.02,52.34,51.81,52.02,55.13,L,KO,R2
UFC 326,Gregory Rodrigues,-150,-162,59.52,65.57,45.61,61.6,59.0,65.7,63.10,55.2,70.11,66.01,62.15,63.31,62.73,61.81,61.23,60.35,61.01,62.55,W,KO,R2
UFC 326,Brunno Ferreira,130,136,40.48,34.43,54.39,38.4,41.0,34.3,36.90,44.8,29.89,33.99,37.85,36.69,37.27,38.19,38.77,39.65,38.99,37.46,L,KO,R2
